date,prediction
2022-02-18 00:30:00,109.62333840007254
2022-02-18 01:00:00,109.6873525589167
2022-02-18 01:30:00,110.04609777119902
2022-02-18 02:00:00,110.09421437403883
2022-02-18 02:30:00,109.59394237378814
2022-02-18 03:00:00,110.23260982521847
2022-02-18 03:30:00,109.78874042669473
2022-02-18 04:00:00,109.01888441614004
2022-02-18 04:30:00,109.5633516220828
2022-02-18 05:00:00,108.49488170047196
2022-02-18 05:30:00,108.62192244271154
2022-02-18 06:00:00,107.38948609196011
2022-02-19 06:30:00,91.99176370071478
2022-02-19 07:00:00,91.75425903145108
2022-02-19 07:30:00,92.15634194488948
2022-02-19 08:00:00,91.95798380292617
2022-02-19 08:30:00,91.90333474980093
2022-02-19 09:00:00,92.35299953010444
2022-02-19 09:30:00,92.16228666734686
2022-02-19 10:00:00,91.33749737463535
2022-02-19 10:30:00,91.75862845063168
2022-02-19 11:00:00,90.7184706310322
2022-02-19 11:30:00,90.48818248870622
2022-02-19 12:00:00,89.64329001381103
2022-02-20 12:30:00,105.51801616424612
2022-02-20 13:00:00,105.35925738905726
2022-02-20 13:30:00,105.56405163248174
2022-02-20 14:00:00,105.80869574962375
2022-02-20 14:30:00,105.52121976265305
2022-02-20 15:00:00,105.99628209303381
2022-02-20 15:30:00,105.66397499813087
2022-02-20 16:00:00,104.47437051720811
2022-02-20 16:30:00,105.25729142833363
2022-02-20 17:00:00,104.33110463296167
2022-02-20 17:30:00,104.6697803851488
2022-02-20 18:00:00,103.25184846047394
2022-02-21 18:30:00,134.49426507362978
2022-02-21 19:00:00,134.61744704545737
2022-02-21 19:30:00,135.3879196884874
2022-02-21 20:00:00,135.652349036693
2022-02-21 20:30:00,135.24086247800597
2022-02-21 21:00:00,135.8884229259163
2022-02-21 21:30:00,135.42297139075635
2022-02-21 22:00:00,133.92361989213316
2022-02-21 22:30:00,135.2364304320896
2022-02-21 23:00:00,133.75892121192817
2022-02-21 23:30:00,133.74038369813883
2022-02-22 00:00:00,132.2337000539888
2022-02-23 00:30:00,117.65832933020101
2022-02-23 01:00:00,117.74225879102154
2022-02-23 01:30:00,117.99507810590276
2022-02-23 02:00:00,117.94838746566212
2022-02-23 02:30:00,117.22487523958071
2022-02-23 03:00:00,117.96751270727947
2022-02-23 03:30:00,117.45571738764625
2022-02-23 04:00:00,116.15165532093341
2022-02-23 04:30:00,116.75623455833747
2022-02-23 05:00:00,115.65182652527436
2022-02-23 05:30:00,115.58485445752514
2022-02-23 06:00:00,114.13745424494768
2022-02-24 06:30:00,110.284060097378
2022-02-24 07:00:00,110.35206309754689
2022-02-24 07:30:00,110.70861155663587
2022-02-24 08:00:00,110.76536101413016
2022-02-24 08:30:00,110.3342867394693
2022-02-24 09:00:00,110.67919626058661
2022-02-24 09:30:00,110.4973282198969
2022-02-24 10:00:00,109.33235531589845
2022-02-24 10:30:00,109.96685086323795
2022-02-24 11:00:00,108.99774548409547
2022-02-24 11:30:00,109.05474544853287
2022-02-24 12:00:00,107.62836373196964
2022-02-25 12:30:00,63.61561380840669
2022-02-25 13:00:00,64.20302609404666
2022-02-25 13:30:00,64.47168515563767
